Grade,Project #,Project name,Tool,Activity #,Activity name,Activity objective,Activity description,Activity duration,Source
10,2,"Lights, camera, action",Clipchamp,6,Explore,"Import and arrange clips.
Edit video, add titles and export.","Students work with Clipchamp as part of the project «Lights, camera, action». They complete the activity «Explore» using the tool to apply their skills to the project theme.",2c,Cursor
10,2,"Lights, camera, action",Clipchamp,7,Explore,"Import and arrange clips.
Edit video, add titles and export.","Students work with Clipchamp as part of the project «Lights, camera, action». They complete the activity «Explore» using the tool to apply their skills to the project theme.",2c,Cursor
10,2,"Lights, camera, action",Clipchamp,8,Explore,"Import and arrange clips.
Edit video, add titles and export.","Students work with Clipchamp as part of the project «Lights, camera, action». They complete the activity «Explore» using the tool to apply their skills to the project theme.",2c,Cursor
10,2,"Lights, camera, action",Clipchamp,9,Build,"Integrate what has been learned into a product or project.
Apply the tool features to the project theme.","Students work with Clipchamp as part of the project «Lights, camera, action». They complete the activity «Build» using the tool to apply their skills to the project theme.",2c,Cursor
10,2,"Lights, camera, action",Clipchamp,10,Apply,Put into practice what has been learned.,"Students put into practice what they have learned in the project. They use Clipchamp to create or share a final product related to «Lights, camera, action».",2c,Cursor
11,1,CSS Bootcamp,VS Code,1,Research,"Describe the main options of a code editor.
Use an electronic source to search for information.","Students use the website of the project to research about the topic. In addition, they learn about the main options of VS Code and how it supports the project theme.",2c,Cursor
11,1,CSS Bootcamp,VS Code,2,Explore,"Create and edit code files.
Use the editor features for CSS and web development.",Students work with VS Code as part of the project «CSS Bootcamp». They complete the activity «Explore» using the tool to apply their skills to the project theme.,2c,Cursor
11,1,CSS Bootcamp,VS Code,3,Explore,"Create and edit code files.
Use the editor features for CSS and web development.",Students work with VS Code as part of the project «CSS Bootcamp». They complete the activity «Explore» using the tool to apply their skills to the project theme.,2c,Cursor
11,1,CSS Bootcamp,VS Code,4,Build,"Integrate what has been learned into a product or project.
Apply the tool features to the project theme.",Students work with VS Code as part of the project «CSS Bootcamp». They complete the activity «Build» using the tool to apply their skills to the project theme.,2c,Cursor
11,1,CSS Bootcamp,VS Code,5,Apply,Put into practice what has been learned.,Students put into practice what they have learned in the project. They use VS Code to create or share a final product related to «CSS Bootcamp».,2c,Cursor
11,2,Primeros pasos en SQL,Oracle Live SQL,1,Investigar,"Reconocer las principales opciones de una plataforma educativa.
Usar una fuente electrónica para buscar información.
Describir conceptos relacionados con el tema del proyecto.","En esta actividad los estudiantes utilizan el sitio web del proyecto para investigar sobre el tema. Además, se familiarizan con las opciones principales de la herramienta Oracle Live SQL.",2c,Cursor
11,2,Primeros pasos en SQL,Oracle Live SQL,2,Explorar,"Explorar las herramientas del programa.
Aplicar las funciones aprendidas al tema del proyecto.",En esta actividad los estudiantes trabajan con Oracle Live SQL en el marco del proyecto «Primeros pasos en SQL». Realizan la actividad «Explorar» aplicando las funciones de la herramienta al contenido del proyecto.,2c,Cursor
11,2,Primeros pasos en SQL,Oracle Live SQL,3,Explorar,"Explorar las herramientas del programa.
Aplicar las funciones aprendidas al tema del proyecto.",En esta actividad los estudiantes trabajan con Oracle Live SQL en el marco del proyecto «Primeros pasos en SQL». Realizan la actividad «Explorar» aplicando las funciones de la herramienta al contenido del proyecto.,2c,Cursor
11,2,Primeros pasos en SQL,Oracle Live SQL,4,Construir,"Integrar lo aprendido en un producto o proyecto.
Aplicar las funciones de la herramienta al tema del proyecto.",En esta actividad los estudiantes trabajan con Oracle Live SQL en el marco del proyecto «Primeros pasos en SQL». Realizan la actividad «Construir» aplicando las funciones de la herramienta al contenido del proyecto.,2c,Cursor
11,2,Primeros pasos en SQL,Oracle Live SQL,5,Aplicar,Poner en práctica lo aprendido.,Los estudiantes ponen en práctica lo aprendido en el proyecto «Primeros pasos en SQL». Utilizan la herramienta Oracle Live SQL para completar un producto final relacionado con la temática.,2c,Cursor
12,1,Program your trivia,JavaScript,1,Research,"Describe the main features of JavaScript.
Use an electronic source to search for information.","Students use the website of the project to research about the topic. In addition, they learn about the main options of JavaScript and how it supports the project theme.",2c,Cursor
12,1,Program your trivia,JavaScript,2,Explore,"Write and run JavaScript code.
Use variables, functions and control structures.",Students work with JavaScript as part of the project «Program your trivia». They complete the activity «Explore» using the tool to apply their skills to the project theme.,2c,Cursor
12,1,Program your trivia,JavaScript,3,Explore,"Write and run JavaScript code.
Use variables, functions and control structures.",Students work with JavaScript as part of the project «Program your trivia». They complete the activity «Explore» using the tool to apply their skills to the project theme.,2c,Cursor
12,1,Program your trivia,JavaScript,4,Build,"Integrate what has been learned into a product or project.
Apply the tool features to the project theme.",Students work with JavaScript as part of the project «Program your trivia». They complete the activity «Build» using the tool to apply their skills to the project theme.,2c,Cursor
12,1,Program your trivia,JavaScript,5,Apply,Put into practice what has been learned.,Students put into practice what they have learned in the project. They use JavaScript to create or share a final product related to «Program your trivia».,2c,Cursor
12,2,Marketing e Inteligencia Artificial,Web browser,1,Investigar,"Reconocer las principales opciones de una plataforma educativa.
Usar una fuente electrónica para buscar información.
Describir conceptos relacionados con el tema del proyecto.","En esta actividad los estudiantes utilizan el sitio web del proyecto para investigar sobre el tema. Además, se familiarizan con las opciones principales de la herramienta Web browser.",2c,Cursor
12,2,Marketing e Inteligencia Artificial,ChatGPT/Gemini,2,Explorar,"Explorar las herramientas del programa.
Aplicar las funciones aprendidas al tema del proyecto.",En esta actividad los estudiantes trabajan con ChatGPT/Gemini en el marco del proyecto «Marketing e Inteligencia Artificial». Realizan la actividad «Explorar» aplicando las funciones de la herramienta al contenido del proyecto.,2c,Cursor
12,2,Marketing e Inteligencia Artificial,ChatGPT/Canva/Adobe Firefly,3,Explorar,"Explorar las herramientas del programa.
Aplicar las funciones aprendidas al tema del proyecto.",En esta actividad los estudiantes trabajan con ChatGPT/Canva/Adobe Firefly en el marco del proyecto «Marketing e Inteligencia Artificial». Realizan la actividad «Explorar» aplicando las funciones de la herramienta al contenido del proyecto.,2c,Cursor
12,2,Marketing e Inteligencia Artificial,ChatGPT/Canva/Clipdrop/Bing,4,Construir,"Integrar lo aprendido en un producto o proyecto.
Aplicar las funciones de la herramienta al tema del proyecto.",En esta actividad los estudiantes trabajan con ChatGPT/Canva/Clipdrop/Bing en el marco del proyecto «Marketing e Inteligencia Artificial». Realizan la actividad «Construir» aplicando las funciones de la herramienta al contenido del proyecto.,2c,Cursor
12,2,Marketing e Inteligencia Artificial,ChatGPT/Studio D-ID/HeyGen,5,Aplicar,Poner en práctica lo aprendido.,Los estudiantes ponen en práctica lo aprendido en el proyecto «Marketing e Inteligencia Artificial». Utilizan la herramienta ChatGPT/Studio D-ID/HeyGen para completar un producto final relacionado con la temática.,2c,Cursor
DC3,1,Animaciones educativas,Wick Editor,1,Aprendamos sobre animaciones,"Definir qué es una animación digital.
Enumerar los principales tipos de animación digital.
Brindar ejemplos de técnicas de animación digital.
Identificar las partes básicas de un editor de animaciones.
Crear una nueva animación y determinar sus propiedades.
Usar herramientas de dibujo.
Trabajar con fotogramas para definir el contenido que se observa en la animación.
Insertar un texto en una animación.
Exportar una animación en formato GIF.","Los estudiantes investigan sobre las animaciones digitales: concepto, tipos y técnicas comunes. Además, utilizan el editor de animaciones en línea para crear un GIF animado.",2c,Tbox
DC3,1,Animaciones educativas,Wick Editor,2,Video explicativo,"Crear capas, reordenarlas y asignarles un nombre.
Importar una imagen e incluirla en la animación.
Usar la herramienta “papel cebolla” para organizar los elementos.
Ajustar la vista de la línea de tiempo.
Usar efectos de interpolación.
Cargar y reproducir audio.
Exportar una animación en formato de video.",Los estudiantes utilizan varias herramientas del editor de animaciones para crear un video explicativo sobre hábitos para prevenir enfermedades.,2c,Tbox
DC3,1,Animaciones educativas,Wick Editor,3,Menú interactivo,"Crear efectos de entrada.
Convertir objetos a botones.
Asignar nombres a los fotogramas.
Manejar fotogramas de control.
Programar un evento cuando el mouse se coloca sobre el objeto.
Definir un evento cuando se da clic al objeto.
Exportar una animación en formato HTML.","Los estudiantes utilizan el editor de animaciones para crear un menú interactivo, con el fin de promover la alimentación saludable como medida para prevenir enfermedades.",2c,Tbox
DC3,1,Animaciones educativas,Wick Editor,4,Infografía interactiva,Programar botones que reproducen un audio.,En esta actividad los estudiantes diseñan una infografía interactiva para presentar hábitos que ayudan a mantener una vida saludable.,2c,Tbox
DC3,1,Animaciones educativas,Wick Editor,5,Animación interactiva,"Programar el evento “al presionar una tecla”.
Crear un hipervínculo en la animación.",Los estudiantes programan teclas direccionales y un hipervínculo para crear una animación interactiva que muestre los beneficios de realizar actividades físicas.,2c,Tbox
DC3,2,Ciudadanía digital animada,Animaker,1,Investigar,"Reconocer las principales opciones de una plataforma educativa.
Usar una fuente electrónica para buscar información.
Describir conceptos relacionados con el tema del proyecto.","En esta actividad los estudiantes utilizan el sitio web del proyecto para investigar sobre el tema. Además, se familiarizan con las opciones principales de la herramienta Animaker.",2c,Cursor
DC3,2,Ciudadanía digital animada,Animaker,2,Explorar,"Explorar las herramientas del programa.
Aplicar las funciones aprendidas al tema del proyecto.",En esta actividad los estudiantes trabajan con Animaker en el marco del proyecto «Ciudadanía digital animada». Realizan la actividad «Explorar» aplicando las funciones de la herramienta al contenido del proyecto.,2c,Cursor
DC3,2,Ciudadanía digital animada,Animaker,3,Explorar,"Explorar las herramientas del programa.
Aplicar las funciones aprendidas al tema del proyecto.",En esta actividad los estudiantes trabajan con Animaker en el marco del proyecto «Ciudadanía digital animada». Realizan la actividad «Explorar» aplicando las funciones de la herramienta al contenido del proyecto.,2c,Cursor
DC3,2,Ciudadanía digital animada,Animaker,4,Explorar,"Explorar las herramientas del programa.
Aplicar las funciones aprendidas al tema del proyecto.",En esta actividad los estudiantes trabajan con Animaker en el marco del proyecto «Ciudadanía digital animada». Realizan la actividad «Explorar» aplicando las funciones de la herramienta al contenido del proyecto.,2c,Cursor
DC3,2,Ciudadanía digital animada,Animaker,5,Explorar,"Explorar las herramientas del programa.
Aplicar las funciones aprendidas al tema del proyecto.",En esta actividad los estudiantes trabajan con Animaker en el marco del proyecto «Ciudadanía digital animada». Realizan la actividad «Explorar» aplicando las funciones de la herramienta al contenido del proyecto.,2c,Cursor
DC3,2,Ciudadanía digital animada,Animaker,6,Construir,"Integrar lo aprendido en un producto o proyecto.
Aplicar las funciones de la herramienta al tema del proyecto.",En esta actividad los estudiantes trabajan con Animaker en el marco del proyecto «Ciudadanía digital animada». Realizan la actividad «Construir» aplicando las funciones de la herramienta al contenido del proyecto.,2c,Cursor
DC3,2,Ciudadanía digital animada,Animaker,7,Aplicar,Poner en práctica lo aprendido.,Los estudiantes ponen en práctica lo aprendido en el proyecto «Ciudadanía digital animada». Utilizan la herramienta Animaker para completar un producto final relacionado con la temática.,2c,Cursor
